Gene	Symbol|Child_inf_vs_control	Mouse.gene.name|Mouse_FOOTDay2inf_vs_control	logFC|Adult_inf_vs_control	logFC|Child_inf_vs_control	logFC|Mouse_LNDay2inf_vs_control	logFC|Mouse_FOOTDay2inf_vs_control	FDR|Adult_inf_vs_control	FDR|Child_inf_vs_control	FDR|Mouse_LNDay2inf_vs_control	FDR|Mouse_FOOTDay2inf_vs_control	-logPFDR|Adult_inf_vs_control	-logPFDR|Child_inf_vs_control	-logPFDR|Mouse_LNDay2inf_vs_control	-logPFDR|Mouse_FOOTDay2inf_vs_control	DEG|Adult_inf_vs_control	DEG|Child_inf_vs_control	DEG|Mouse_LNDay2inf_vs_control	DEG|Mouse_FOOTDay2inf_vs_control	Number_UP	Number_DOWN
ENSG00000172943	PHF8	Phf8	0.4416	0.1717	0.2496	0.2077	0.0034	0.0030	0.0036	0.0265	2.4664	2.5260	2.4447	1.5773	NO	NO	NO	NO	0	0
ENSG00000006062	MAP3K14	Map3k14	0.1081	-0.5341	0.2496	0.5878	0.6921	0.0046	0.0039	0.0000	0.1599	2.3402	2.4083	5.4067	NO	NO	NO	NO	0	0
ENSG00000115239	ASB3	Asb3	-0.0903	-0.3123	0.2496	0.1435	0.5307	0.0000	0.0109	0.2101	0.2751	6.1506	1.9643	0.6775	NO	NO	NO	NO	0	0
ENSG00000170445	HARS	Hars	-0.8922	-0.3317	0.2494	0.0404	0.0000	0.0000	0.0003	0.5357	9.8729	7.0862	3.5040	0.2710	NO	NO	NO	NO	0	0
ENSG00000169976	SF3B5	Sf3b5	0.6198	-0.2145	0.2494	-0.0222	0.0000	0.3352	0.0052	0.8261	4.6861	0.4747	2.2879	0.0830	NO	NO	NO	NO	0	0
ENSG00000158796	DEDD	Dedd	0.5350	0.6317	0.2494	0.3335	0.0002	0.0000	0.0465	0.0159	3.6820	16.6478	1.3321	1.7975	NO	NO	NO	NO	0	0
ENSG00000171634	BPTF	Bptf	-0.1887	-0.3123	0.2492	-0.1943	0.1718	0.0000	0.0026	0.0238	0.7649	14.0701	2.5801	1.6237	NO	NO	NO	NO	0	0
ENSG00000117713	ARID1A	Arid1a	-0.6417	0.0284	0.2492	0.0364	0.0158	0.6098	0.0004	0.6178	1.8021	0.2148	3.3640	0.2092	NO	NO	NO	NO	0	0
ENSG00000163961	RNF168	Rnf168	0.1314	-0.1391	0.2490	-0.0799	0.2458	0.0002	0.0073	0.4094	0.6094	3.6323	2.1337	0.3878	NO	NO	NO	NO	0	0
ENSG00000133561	GIMAP6	Gimap6	-0.6937	0.8199	0.2489	0.9655	0.0069	0.0000	0.0023	0.0000	2.1598	34.8539	2.6408	8.7375	NO	NO	NO	NO	0	0
ENSG00000160813	PPP1R35	Ppp1r35	0.1726	-0.3178	0.2487	-0.0543	0.3594	0.2434	0.0287	0.7007	0.4444	0.6137	1.5428	0.1545	NO	NO	NO	NO	0	0
ENSG00000169118	CSNK1G1	Csnk1g1	-0.3040	0.2152	0.2486	0.2287	0.0782	0.0000	0.0019	0.0061	1.1068	5.9066	2.7260	2.2115	NO	NO	NO	NO	0	0
ENSG00000221914	PPP2R2A	Ppp2r2a	0.6024	0.6295	0.2486	0.3292	0.0000	0.0000	0.0006	0.0000	7.3478	15.3872	3.2280	4.4789	NO	NO	NO	NO	0	0
ENSG00000115128	SF3B6	Sf3b6	0.6310	0.7688	0.2485	-0.0348	0.0001	0.0000	0.0058	0.7206	4.0443	22.1290	2.2403	0.1423	NO	NO	NO	NO	0	0
ENSG00000106263	EIF3B	Eif3b	-0.4096	-0.4399	0.2485	0.1278	0.0069	0.0000	0.0007	0.0578	2.1638	7.9318	3.1255	1.2382	NO	NO	NO	NO	0	0
ENSG00000118246	FASTKD2	Fastkd2	-0.7764	-0.5349	0.2484	0.0942	0.0000	0.0000	0.0525	0.5194	7.8601	21.6383	1.2799	0.2845	NO	NO	NO	NO	0	0
ENSG00000154473	BUB3	Bub3	-0.8104	-0.5738	0.2477	0.0245	0.0000	0.0000	0.0018	0.7829	8.5017	27.8928	2.7425	0.1063	NO	NO	NO	NO	0	0
ENSG00000160613	PCSK7	Pcsk7	-0.6836	-0.5195	0.2475	0.2158	0.0000	0.0000	0.0010	0.0042	5.1798	11.0991	3.0031	2.3749	NO	NO	NO	NO	0	0
ENSG00000227345	PARG	Parg	-0.5805	-0.0990	0.2474	0.0562	0.0000	0.0015	0.0007	0.4429	4.7545	2.8239	3.1740	0.3537	NO	NO	NO	NO	0	0
ENSG00000160917	CPSF4	Cpsf4	-0.6574	-0.1872	0.2472	0.0076	0.0000	0.2927	0.0090	0.9572	5.9355	0.5336	2.0465	0.0190	NO	NO	NO	NO	0	0
ENSG00000117751	PPP1R8	Ppp1r8	-0.5381	-0.1740	0.2470	0.0758	0.0000	0.0000	0.0011	0.3086	5.4365	4.7011	2.9557	0.5106	NO	NO	NO	NO	0	0
ENSG00000155097	ATP6V1C1	Atp6v1c1	-0.6116	0.6247	0.2469	0.2453	0.0032	0.0000	0.0252	0.0336	2.4937	25.8210	1.5991	1.4731	NO	NO	NO	NO	0	0
ENSG00000118197	DDX59	Ddx59	-0.5237	0.5818	0.2467	0.0574	0.0005	0.0000	0.0530	0.6749	3.3398	28.4271	1.2761	0.1708	NO	NO	NO	NO	0	0
ENSG00000165071	TMEM71	Tmem71	-0.7661	0.2221	0.2463	-0.5676	0.0026	0.0006	0.0144	0.0036	2.5878	3.2393	1.8428	2.4454	NO	NO	NO	NO	0	0
ENSG00000156787	TBC1D31	Tbc1d31	0.0878	-0.3988	0.2459	-0.2874	0.6758	0.0000	0.1022	0.0914	0.1702	5.8665	0.9907	1.0392	NO	NO	NO	NO	0	0
ENSG00000151247	EIF4E	Eif4e	0.0451	-0.0933	0.2459	0.2148	0.6736	0.0657	0.0005	0.0015	0.1716	1.1826	3.3152	2.8239	NO	NO	NO	NO	0	0
ENSG00000106615	RHEB	Rheb	0.9261	0.6911	0.2456	0.3337	0.0000	0.0000	0.0011	0.0000	6.5918	27.7959	2.9569	4.5735	NO	NO	NO	NO	0	0
ENSG00000137822	TUBGCP4	Tubgcp4	0.0660	-0.3824	0.2452	0.2019	0.6591	0.0000	0.0203	0.1192	0.1810	7.7825	1.6922	0.9238	NO	NO	NO	NO	0	0
ENSG00000104731	KLHDC4	Klhdc4	-0.2597	-0.4480	0.2452	0.2346	0.1583	0.0002	0.0081	0.0134	0.8004	3.6854	2.0925	1.8737	NO	NO	NO	NO	0	0
ENSG00000076108	BAZ2A	Baz2a	0.9655	0.5822	0.2452	0.0776	0.0001	0.0000	0.0010	0.2868	4.0996	15.7986	3.0181	0.5425	NO	NO	NO	NO	0	0
ENSG00000183283	DAZAP2	Dazap2	0.8439	0.3826	0.2451	0.1214	0.0000	0.0000	0.0005	0.0591	7.5952	17.7328	3.3217	1.2287	NO	NO	NO	NO	0	0
ENSG00000186714	CCDC73	Ccdc73	0.5243	0.7729	0.2450	0.1418	0.0679	0.0000	0.4115	0.6473	1.1683	6.0937	0.3857	0.1889	NO	NO	NO	NO	0	0
ENSG00000109180	OCIAD1	Ociad1	-0.4430	-0.1181	0.2446	0.2061	0.0000	0.0031	0.0003	0.0015	4.6576	2.5119	3.5938	2.8239	NO	NO	NO	NO	0	0
ENSG00000113712	CSNK1A1	Csnk1a1	0.8631	0.2939	0.2442	0.2690	0.0000	0.0000	0.0002	0.0001	13.0066	7.5784	3.7911	4.2284	NO	NO	NO	NO	0	0
ENSG00000168876	ANKRD49	Ankrd49	0.4020	0.0053	0.2441	0.1126	0.0056	0.9378	0.0142	0.2663	2.2502	0.0279	1.8474	0.5747	NO	NO	NO	NO	0	0
ENSG00000172775	FAM192A	Fam192a	0.3057	0.4298	0.2440	0.2261	0.0159	0.0000	0.0013	0.0029	1.7993	20.2933	2.8763	2.5357	NO	NO	NO	NO	0	0
ENSG00000108094	CUL2	Cul2	0.1497	-0.0435	0.2440	0.1509	0.1322	0.4047	0.0014	0.0323	0.8789	0.3929	2.8483	1.4915	NO	NO	NO	NO	0	0
ENSG00000187790	FANCM	Fancm	-0.3333	-0.4766	0.2439	-0.3396	0.0089	0.0000	0.0728	0.0350	2.0506	14.0883	1.1379	1.4556	NO	NO	NO	NO	0	0
ENSG00000158987	RAPGEF6	Rapgef6	-0.9406	-0.9977	0.2438	-0.1280	0.0000	0.0000	0.0012	0.1054	6.9172	36.4547	2.9174	0.9772	NO	NO	NO	NO	0	0
ENSG00000110931	CAMKK2	Camkk2	0.0657	0.6773	0.2436	0.2953	0.7462	0.0000	0.0025	0.0006	0.1271	17.2487	2.6019	3.2465	NO	NO	NO	NO	0	0
ENSG00000132846	ZBED3	Zbed3	-1.1373	-0.5104	0.2436	0.2264	0.0076	0.0140	0.0464	0.0808	2.1213	1.8524	1.3332	1.0926	NO	NO	NO	NO	0	0
ENSG00000080371	RAB21	Rab21	0.6723	0.5385	0.2434	0.3950	0.0000	0.0000	0.0009	0.0000	6.5436	20.3251	3.0342	5.0438	NO	NO	NO	NO	0	0
ENSG00000180190	TDRP	Tdrp	-0.1397	-0.8541	0.2434	0.5580	0.6243	0.0000	0.0096	0.0004	0.2046	6.0467	2.0195	3.4102	NO	NO	NO	NO	0	0
ENSG00000177733	HNRNPA0	Hnrnpa0	-0.0406	-0.5268	0.2434	-0.0271	0.7539	0.0000	0.0027	0.7656	0.1227	23.0101	2.5655	0.1160	NO	NO	NO	NO	0	0
ENSG00000111530	CAND1	Cand1	-0.8774	-0.4863	0.2434	-0.0391	0.0000	0.0000	0.0003	0.5563	8.4535	21.0146	3.4689	0.2547	NO	NO	NO	NO	0	0
ENSG00000125835	SNRPB	Snrpb	0.9824	-0.1093	0.2433	0.0347	0.0000	0.3239	0.0033	0.6972	9.7747	0.4896	2.4784	0.1567	NO	NO	NO	NO	0	0
ENSG00000065526	SPEN	Spen	-0.1162	0.0353	0.2431	-0.0476	0.5828	0.5324	0.0011	0.5446	0.2345	0.2737	2.9504	0.2639	NO	NO	NO	NO	0	0
ENSG00000162927	PUS10	Pus10	0.6935	0.5258	0.2431	0.0317	0.0000	0.0000	0.0058	0.7519	4.7959	14.8327	2.2347	0.1238	NO	NO	NO	NO	0	0
ENSG00000138587	MNS1	Mns1	1.1057	0.6170	0.2431	-0.3167	0.0011	0.0039	0.1958	0.2767	2.9429	2.4105	0.7082	0.5580	NO	NO	NO	NO	0	0
ENSG00000133112	TPT1	Tpt1	0.1366	-0.6119	0.2431	-0.0588	0.4295	0.0000	0.0021	0.4585	0.3670	19.7235	2.6784	0.3386	NO	NO	NO	NO	0	0
ENSG00000116741	RGS2	Rgs2	-0.6642	0.1291	0.2430	0.4728	0.0315	0.2372	0.0039	0.0000	1.5011	0.6250	2.4046	4.6055	NO	NO	NO	NO	0	0
ENSG00000105372	RPS19	Rps19	-0.4538	-0.4031	0.2428	-0.2831	0.0010	0.0000	0.0015	0.0007	3.0158	4.6162	2.8109	3.1834	NO	NO	NO	NO	0	0
ENSG00000129315	CCNT1	Ccnt1	0.6327	0.0814	0.2425	0.1856	0.0000	0.0088	0.0002	0.0044	6.8013	2.0547	3.6885	2.3577	NO	NO	NO	NO	0	0
ENSG00000164944	KIAA1429	Virma	-0.1879	-0.1875	0.2425	0.0168	0.0695	0.0000	0.0062	0.8873	1.1582	6.0768	2.2042	0.0520	NO	NO	NO	NO	0	0
ENSG00000144746	ARL6IP5	Arl6ip5	0.0211	-0.1096	0.2422	0.3261	0.8854	0.0443	0.0005	0.0000	0.0528	1.3532	3.3063	4.6055	NO	NO	NO	NO	0	0
ENSG00000143970	ASXL2	Asxl2	-0.7485	-0.1159	0.2420	0.1008	0.0001	0.0152	0.0013	0.1868	4.0788	1.8179	2.8934	0.7285	NO	NO	NO	NO	0	0
ENSG00000106803	SEC61B	Sec61b	0.4636	-0.1103	0.2417	0.1923	0.0002	0.1089	0.0116	0.0515	3.8045	0.9631	1.9367	1.2880	NO	NO	NO	NO	0	0
ENSG00000091651	ORC6	Orc6	0.6673	-0.0944	0.2416	-0.1347	0.0004	0.4806	0.0467	0.2580	3.3590	0.3182	1.3311	0.5884	NO	NO	NO	NO	0	0
ENSG00000126945	HNRNPH2	Hnrnph2	0.3131	0.4554	0.2416	0.3923	0.0683	0.0000	0.0008	0.0000	1.1655	14.8861	3.1126	5.3089	NO	NO	NO	NO	0	0
ENSG00000101473	ACOT8	Acot8	-0.0972	0.1352	0.2415	0.0141	0.4553	0.0303	0.0523	0.9382	0.3417	1.5188	1.2812	0.0277	NO	NO	NO	NO	0	0
ENSG00000171861	MRM3	Mrm3	-0.3505	-0.5128	0.2413	0.2014	0.0161	0.0002	0.1262	0.1946	1.7945	3.6853	0.8988	0.7109	NO	NO	NO	NO	0	0
ENSG00000116127	ALMS1	Alms1	-0.3369	-0.6825	0.2410	-0.6030	0.0078	0.0000	0.1369	0.0013	2.1078	28.6073	0.8636	2.8840	NO	NO	NO	NO	0	0
ENSG00000130856	ZNF236	Zfp236	0.1354	-0.1115	0.2407	-0.0386	0.3321	0.0072	0.0045	0.7054	0.4787	2.1415	2.3425	0.1516	NO	NO	NO	NO	0	0
ENSG00000135898	GPR55	Gpr55	-0.6540	-0.5244	0.2403	1.7612	0.0049	0.0007	0.1613	0.0010	2.3073	3.1581	0.7924	2.9984	NO	NO	NO	NO	0	0
ENSG00000182446	NPLOC4	Nploc4	-0.2110	0.1759	0.2402	0.3640	0.0169	0.0131	0.0003	0.0000	1.7719	1.8830	3.4596	5.6021	NO	NO	NO	NO	0	0
ENSG00000071994	PDCD2	Pdcd2	-0.9907	-0.3677	0.2402	0.1565	0.0000	0.0000	0.0268	0.1961	10.0585	16.8297	1.5721	0.7076	NO	NO	NO	NO	0	0
ENSG00000214026	MRPL23	Mrpl23	-0.0349	-0.5791	0.2401	-0.1550	0.8329	0.0997	0.0825	0.2789	0.0794	1.0015	1.0834	0.5546	NO	NO	NO	NO	0	0
ENSG00000241258	CRCP	Crcp	0.4017	-0.1915	0.2401	0.2059	0.0001	0.0033	0.0198	0.0495	3.9474	2.4864	1.7031	1.3058	NO	NO	NO	NO	0	0
ENSG00000166446	CDYL2	Cdyl2	-0.0109	-0.1016	0.2400	0.1519	0.9568	0.1073	0.0053	0.1606	0.0192	0.9695	2.2717	0.7942	NO	NO	NO	NO	0	0
ENSG00000125772	GPCPD1	Gpcpd1	0.6215	0.1727	0.2399	0.3959	0.0002	0.0024	0.0041	0.0001	3.7488	2.6235	2.3887	4.2351	NO	NO	NO	NO	0	0
ENSG00000089159	PXN	Pxn	0.2214	0.9611	0.2398	0.2051	0.3865	0.0000	0.0061	0.0183	0.4129	17.4547	2.2163	1.7386	NO	NO	NO	NO	0	0
ENSG00000154957	ZNF18	Zkscan6	-0.5113	0.0715	0.2397	0.2623	0.0002	0.2131	0.0063	0.0052	3.7805	0.6715	2.2001	2.2823	NO	NO	NO	NO	0	0
ENSG00000108591	DRG2	Drg2	-0.2680	-0.2374	0.2396	0.0000	0.0342	0.0099	0.0070	1.0000	1.4658	2.0055	2.1561	0.0000	NO	NO	NO	NO	0	0
ENSG00000197405	C5AR1	C5ar1	0.6942	0.8049	0.2396	-0.1113	0.0075	0.0000	0.4241	0.6118	2.1273	13.2823	0.3725	0.2134	NO	NO	NO	NO	0	0
ENSG00000166188	ZNF319	Zfp319	0.8441	0.9925	0.2393	0.1858	0.0000	0.0000	0.0144	0.0736	4.6108	14.5800	1.8414	1.1329	NO	NO	NO	NO	0	0
ENSG00000205250	E2F4	E2f4	0.1870	0.1234	0.2389	0.2073	0.1128	0.1465	0.0029	0.0136	0.9479	0.8342	2.5372	1.8674	NO	NO	NO	NO	0	0
ENSG00000162378	ZYG11B	Zyg11b	-0.7975	-0.5384	0.2389	-0.0017	0.0000	0.0000	0.0276	0.9950	6.9830	21.4283	1.5586	0.0022	NO	NO	NO	NO	0	0
ENSG00000168386	FILIP1L	Filip1l	0.0560	-0.7561	0.2388	0.3378	0.8530	0.0000	0.0291	0.0054	0.0691	6.4672	1.5366	2.2668	NO	NO	NO	NO	0	0
ENSG00000110697	PITPNM1	Pitpnm1	0.0276	0.0281	0.2386	0.6547	0.8706	0.9355	0.0318	0.0001	0.0602	0.0290	1.4972	3.9112	NO	NO	NO	NO	0	0
ENSG00000156050	FAM161B	Fam161b	-0.9463	0.0816	0.2386	0.1300	0.0001	0.3664	0.3542	0.5831	4.0320	0.4360	0.4507	0.2342	NO	NO	NO	NO	0	0
ENSG00000089195	TRMT6	Trmt6	0.2346	-0.1110	0.2384	0.0908	0.0732	0.0698	0.0149	0.3804	1.1357	1.1560	1.8271	0.4197	NO	NO	NO	NO	0	0
ENSG00000133639	BTG1	Btg1-ps1	0.3282	-0.1642	0.2383	0.6228	0.0131	0.0032	0.4295	0.4917	1.8840	2.4903	0.3670	0.3083	NO	NO	NO	NO	0	0
ENSG00000006634	DBF4	Dbf4	0.9012	-0.5908	0.2382	-0.3864	0.0000	0.0000	0.0463	0.0052	5.4225	16.5302	1.3346	2.2875	NO	NO	NO	NO	0	0
ENSG00000071205	ARHGAP10	Arhgap10	0.1804	-0.8157	0.2380	-0.0518	0.2496	0.0000	0.0869	0.6627	0.6028	12.3316	1.0610	0.1787	NO	NO	NO	NO	0	0
ENSG00000272391	POM121C	Pom121	-0.2338	-0.4323	0.2379	0.0594	0.4103	0.0001	0.0033	0.4985	0.3869	4.2588	2.4770	0.3024	NO	NO	NO	NO	0	0
ENSG00000196313	POM121	Pom121	0.1702	-0.1406	0.2379	0.0594	0.2971	0.0560	0.0033	0.4985	0.5271	1.2521	2.4770	0.3024	NO	NO	NO	NO	0	0
ENSG00000126698	DNAJC8	Dnajc8	-0.2609	-0.1124	0.2379	0.2993	0.0487	0.0210	0.0046	0.0009	1.3124	1.6781	2.3380	3.0268	NO	NO	NO	NO	0	0
ENSG00000143376	SNX27	Snx27	-0.8256	0.7868	0.2377	-0.1493	0.0000	0.0000	0.0010	0.0309	5.4672	21.4318	2.9853	1.5103	NO	NO	NO	NO	0	0
ENSG00000124486	USP9X	Usp9x	0.1528	-0.1220	0.2376	-0.0111	0.1733	0.0119	0.0058	0.9224	0.7613	1.9254	2.2386	0.0351	NO	NO	NO	NO	0	0
ENSG00000072571	HMMR	Hmmr	0.6108	0.2335	0.2375	-0.8675	0.0146	0.0435	0.1770	0.0000	1.8350	1.3616	0.7521	4.4711	NO	NO	NO	NO	0	0
ENSG00000134697	GNL2	Gnl2	0.2048	-0.1075	0.2375	0.3469	0.0588	0.0150	0.0090	0.0004	1.2307	1.8225	2.0459	3.3545	NO	NO	NO	NO	0	0
ENSG00000004534	RBM6	Rbm6	-0.6244	-0.0034	0.2372	0.1775	0.0000	0.9556	0.0138	0.0974	6.2749	0.0197	1.8614	1.0115	NO	NO	NO	NO	0	0
ENSG00000134516	DOCK2	Dock2	-0.1937	0.3739	0.2372	0.7283	0.0927	0.0000	0.0063	0.0000	1.0327	10.3036	2.2036	5.7932	NO	NO	NO	NO	0	0
ENSG00000124383	MPHOSPH10	Mphosph10	-0.9113	-0.2172	0.2369	0.2181	0.0000	0.0000	0.0768	0.1267	8.5702	4.4737	1.1145	0.8971	NO	NO	NO	NO	0	0
ENSG00000228278	ORM2	Orm2	-0.5139	-0.9905	0.2369	0.1153	0.1405	0.0051	0.6274	0.8802	0.8525	2.2960	0.2025	0.0554	NO	NO	NO	NO	0	0
ENSG00000171490	RSL1D1	Rsl1d1	-0.5378	-0.5020	0.2369	0.0330	0.0000	0.0000	0.0023	0.6885	4.8539	20.2055	2.6467	0.1621	NO	NO	NO	NO	0	0
ENSG00000143612	C1orf43	4933434E20Rik	0.0138	0.8235	0.2368	0.2768	0.9011	0.0000	0.0022	0.0012	0.0452	47.1494	2.6649	2.9210	NO	NO	NO	NO	0	0
ENSG00000189306	RRP7A	Rrp7a	-0.0527	-0.2612	0.2367	0.2307	0.7401	0.1272	0.0015	0.0024	0.1307	0.8954	2.8265	2.6116	NO	NO	NO	NO	0	0
ENSG00000172578	KLHL6	Klhl6	0.0685	0.9911	0.2366	-0.6431	0.6357	0.0000	0.0016	0.0000	0.1967	52.7167	2.8009	4.8729	NO	NO	NO	NO	0	0
ENSG00000066651	TRMT11	Trmt11	-0.3133	0.1185	0.2366	-0.0164	0.0142	0.0914	0.1576	0.9461	1.8474	1.0390	0.8023	0.0241	NO	NO	NO	NO	0	0
ENSG00000165699	TSC1	Tsc1	-0.0560	-0.5093	0.2364	0.0695	0.6970	0.0000	0.0006	0.3046	0.1568	15.7747	3.2213	0.5162	NO	NO	NO	NO	0	0
ENSG00000107290	SETX	Setx	-0.1628	0.5386	0.2364	-0.1439	0.2370	0.0000	0.0009	0.0458	0.6253	20.7645	3.0678	1.3391	NO	NO	NO	NO	0	0
ENSG00000144747	TMF1	Tmf1	0.9597	0.2598	0.2362	0.1289	0.0000	0.0000	0.0181	0.2265	10.2660	7.3298	1.7427	0.6450	NO	NO	NO	NO	0	0
ENSG00000005022	SLC25A5	Slc25a5	-0.1202	-0.6151	0.2360	0.0475	0.3787	0.0000	0.0031	0.5652	0.4217	21.3904	2.5036	0.2478	NO	NO	NO	NO	0	0
ENSG00000105993	DNAJB6	Dnajb6	0.9515	0.1519	0.2360	0.3612	0.0000	0.0005	0.0014	0.0000	9.5100	3.3254	2.8692	4.7212	NO	NO	NO	NO	0	0
ENSG00000164597	COG5	Cog5	-0.5436	-0.2840	0.2360	-0.1430	0.0000	0.0000	0.0377	0.2929	7.8794	9.0320	1.4238	0.5332	NO	NO	NO	NO	0	0
ENSG00000129353	SLC44A2	Slc44a2	-0.8497	-0.1365	0.2359	0.2163	0.0000	0.2315	0.0007	0.0020	5.6861	0.6355	3.1266	2.7040	NO	NO	NO	NO	0	0
ENSG00000214078	CPNE1	Cpne1	-0.9238	0.1209	0.2359	0.2788	0.0000	0.1673	0.0010	0.0003	7.6038	0.7765	3.0069	3.4585	NO	NO	NO	NO	0	0
ENSG00000188732	FAM221A	Fam221a	0.3428	-0.1708	0.2358	-0.2651	0.0341	0.0341	0.3910	0.2023	1.4670	1.4667	0.4078	0.6941	NO	NO	NO	NO	0	0
ENSG00000145782	ATG12	Atg12	0.6322	0.2931	0.2357	0.1660	0.0000	0.0000	0.0006	0.0123	6.2890	7.1675	3.2191	1.9111	NO	NO	NO	NO	0	0
ENSG00000100889	PCK2	Pck2	-0.3608	0.2028	0.2357	-0.1920	0.0488	0.1923	0.0014	0.0173	1.3116	0.7160	2.8394	1.7616	NO	NO	NO	NO	0	0
ENSG00000076650	GPATCH1	Gpatch1	-0.1500	-0.0260	0.2356	0.1715	0.3482	0.7205	0.0365	0.1356	0.4582	0.1424	1.4382	0.8677	NO	NO	NO	NO	0	0
ENSG00000104472	CHRAC1	Chrac1	0.2387	-0.2768	0.2356	0.1599	0.0680	0.0000	0.0045	0.0430	1.1672	4.9666	2.3456	1.3665	NO	NO	NO	NO	0	0
ENSG00000082515	MRPL22	Mrpl22	0.5160	-0.4585	0.2354	0.2915	0.0000	0.0000	0.2687	0.1655	4.9245	10.2708	0.5707	0.7813	NO	NO	NO	NO	0	0
ENSG00000114026	OGG1	Ogg1	-0.9360	-0.3386	0.2353	-0.3342	0.0000	0.0001	0.1174	0.0406	8.2161	3.9636	0.9302	1.3920	NO	NO	NO	NO	0	0
ENSG00000204619	PPP1R11	Ppp1r11	0.5735	0.8982	0.2353	0.3649	0.0000	0.0000	0.0275	0.0024	5.4377	37.5607	1.5607	2.6159	NO	NO	NO	NO	0	0
ENSG00000152464	RPP38	Rpp38	-0.3454	-0.2101	0.2351	0.1081	0.0006	0.0043	0.0534	0.3854	3.2471	2.3703	1.2722	0.4140	NO	NO	NO	NO	0	0
ENSG00000213341	CHUK	Chuk	-0.0521	0.5714	0.2351	0.3355	0.7138	0.0000	0.0003	0.0000	0.1464	20.3536	3.5887	4.9957	NO	NO	NO	NO	0	0
ENSG00000212296	SNORD72	Snord72	0.2092	-0.1095	0.2350	0.0505	0.6367	0.4455	0.3548	0.8876	0.1961	0.3511	0.4500	0.0518	NO	NO	NO	NO	0	0
ENSG00000171863	RPS7	Rps7	-0.6969	-0.5856	0.2349	-0.2546	0.0000	0.0000	0.0108	0.0110	4.7011	21.5186	1.9648	1.9567	NO	NO	NO	NO	0	0
ENSG00000158402	CDC25C	Cdc25c	0.5531	0.3927	0.2348	-0.5486	0.0541	0.0239	0.4393	0.0094	1.2667	1.6219	0.3573	2.0247	NO	NO	NO	NO	0	0
ENSG00000158156	XKR8	Xkr8	-0.4246	0.1441	0.2348	0.7730	0.0422	0.3001	0.1175	0.0000	1.3747	0.5228	0.9299	4.3556	NO	NO	NO	NO	0	0
ENSG00000143319	ISG20L2	Isg20l2	0.0266	0.2380	0.2348	0.0651	0.8308	0.0000	0.0004	0.3247	0.0805	4.7620	3.3541	0.4885	NO	NO	NO	NO	0	0
ENSG00000126254	RBM42	Rbm42	0.3359	0.1982	0.2346	0.1965	0.0111	0.5606	0.0059	0.0202	1.9539	0.2513	2.2281	1.6948	NO	NO	NO	NO	0	0
ENSG00000108590	MED31	Med31	0.5846	-0.1123	0.2344	0.3161	0.0008	0.0156	0.1275	0.0262	3.0903	1.8079	0.8943	1.5820	NO	NO	NO	NO	0	0
ENSG00000125445	MRPS7	Mrps7	-0.0044	0.0803	0.2342	0.1225	0.9730	0.1661	0.0137	0.1984	0.0119	0.7796	1.8644	0.7024	NO	NO	NO	NO	0	0
ENSG00000147669	POLR2K	Polr2k	0.5859	-0.0286	0.2342	0.1430	0.0002	0.7358	0.6747	0.8186	3.7654	0.1333	0.1709	0.0869	NO	NO	NO	NO	0	0
ENSG00000130313	PGLS	Pgls	-0.8514	-0.0025	0.2342	-0.1292	0.0000	0.9926	0.0378	0.2733	7.0357	0.0032	1.4228	0.5634	NO	NO	NO	NO	0	0
ENSG00000201772	SNORA5C	Snora5c	0.3162	-0.3368	0.2341	0.5696	0.2754	0.4013	0.5525	0.3828	0.5601	0.3965	0.2577	0.4170	NO	NO	NO	NO	0	0
ENSG00000168827	GFM1	Gfm1	-0.7684	-0.3744	0.2341	0.2935	0.0000	0.0000	0.0194	0.0039	10.8097	14.0825	1.7120	2.4071	NO	NO	NO	NO	0	0
ENSG00000130338	TULP4	Tulp4	-0.8643	-0.7621	0.2339	0.0217	0.0000	0.0000	0.0007	0.7645	5.6799	37.5391	3.1515	0.1166	NO	NO	NO	NO	0	0
ENSG00000161638	ITGA5	Itga5	0.1749	-0.1629	0.2337	0.9698	0.3086	0.1251	0.0518	0.0000	0.5106	0.9028	1.2859	8.0680	NO	NO	NO	NO	0	0
ENSG00000106003	LFNG	Lfng	-0.9899	-0.5307	0.2337	0.0101	0.0000	0.0000	0.0197	0.9519	6.6536	7.1561	1.7057	0.0214	NO	NO	NO	NO	0	0
ENSG00000182472	CAPN12	Capn12	-0.7878	-0.7414	0.2334	0.5487	0.0038	0.0033	0.7019	0.1792	2.4242	2.4837	0.1537	0.7466	NO	NO	NO	NO	0	0
ENSG00000088205	DDX18	Ddx18	-0.7846	-0.4325	0.2334	0.3158	0.0000	0.0000	0.0283	0.0087	7.9957	16.0200	1.5478	2.0611	NO	NO	NO	NO	0	0
ENSG00000163479	SSR2	Ssr2	0.3067	-0.0551	0.2334	0.2165	0.0095	0.5507	0.0023	0.0042	2.0230	0.2591	2.6366	2.3773	NO	NO	NO	NO	0	0
ENSG00000198648	STK39	Stk39	-0.3036	-0.9410	0.2333	0.3998	0.0174	0.0000	0.0651	0.0023	1.7584	28.7328	1.1864	2.6387	NO	NO	NO	NO	0	0
ENSG00000176903	PNMA1	Pnma1	-0.5996	-0.2746	0.2332	0.0674	0.0027	0.0000	0.5377	0.8597	2.5651	4.6536	0.2694	0.0657	NO	NO	NO	NO	0	0
